slug,country,ymyl,professionalReviewer,editorialState,decision
"calculadora-temperatura-acuario-especie","AR","MODERATE","","automated_tested","KEEP"
"calculadora-test-prenatal-no-invasivo-nipt-precio-arg","AR","MODERATE","","automated_tested","KEEP"
"calculadora-tiempo-recuperacion-isquiotibial-grado-1-2-3","AR","HIGH","","draft","DRAFT"
"calculadora-top-10-goleadores-historico-mundial-fifa","AR","MODERATE","","automated_tested","KEEP"
"calculadora-tortuga-acuatica-tamano-acuario-filtro-litros","AR","MODERATE","","draft","MERGE_301"
"calculadora-tortuga-acuatica-uvb-watts-pecera","AR","MODERATE","","draft","MERGE_301"
"calculadora-vacaciones-empleada-casa-particular-antiguedad-dias","AR","MODERATE","","automated_tested","KEEP"
"calculadora-vacaciones-no-tomadas-indemnizacion-formula","AR","MODERATE","","draft","MERGE_301"
"calculadora-vacunas-bebe-calendario-2026-argentina-edad","AR","HIGH","","draft","DRAFT"
"calculadora-vacunas-perro-calendario-cachorro","AR","MODERATE","","draft","MERGE_301"
"calculadora-validar-cbu-cvu-identificar-banco","AR","MODERATE","","automated_tested","KEEP"
"calculadora-valor-presente-neto-vpn","AR","MODERATE","","automated_tested","KEEP"
"calculadora-valuacion-fiscal-neuquen-2026-impuesto-inmobiliario","AR","MODERATE","","automated_tested","KEEP"
"calculadora-velocidad-sprint-30m-futbol-por-posicion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-vo2-max-futbolista-profesional-vs-amateur","AR","MODERATE","","draft","MERGE_301"
"calculadora-volatilidad-implicita-opciones","AR","MODERATE","","automated_tested","KEEP"
"calculadora-zona2-cardio-frecuencia-edad-vo2max","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calendario-ecografias-embarazo-semanas","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calorias-alimento-porcion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calorias-arroz-blanco-integral-cocido","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calorias-ciclismo-watts","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calorias-saltar-cuerda-minutos","AR","MODERATE","","draft","MERGE_301"
"calculadora-calorias-quemadas-deporte","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calorias-embarazo-trimestre","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calorias-subir-escaleras-pisos","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calorias-gym-pesas-hora","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calorias-hamburguesa-casera-comercial","AR","MODERATE","","draft","MERGE_301"
"calculadora-calorias-huevo-revuelto-frito-cocido","AR","MODERATE","","draft","MERGE_301"
"calculadora-calorias-lactancia","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calorias-palta-aguacate-completa-mitad","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calorias-pan-blanco-integral-porcion","AR","MODERATE","","draft","MERGE_301"
"calculadora-calorias-quemadas-ejercicio","AR","MODERATE","","draft","MERGE_301"
"calculadora-calorias-quemadas-running-km-peso","AR","MODERATE","","draft","MERGE_301"
"calculadora-calorias-remo-indoor-ergometro","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calorias-sexo-relacion-intima-duracion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calorias-ski-snowboard-montana","AR","MODERATE","","automated_tested","KEEP"
