url,query,country,cluster,clicks,impressions,ctr,average_position,action,priority,confidence,reason,data_status
https://hacecuentas.com/mx/calculadora-salario-diario-integrado-sdi-mexico,,MX,salary,73,2611,0.028,6.00,OPTIMIZE_TITLE,72,80,"pos 6.0, CTR 2.8% < esperado 5%, ~58 clicks potenciales",AVAILABLE
https://hacecuentas.com/do/calculadora-liquidacion-republica-dominicana,,DO,savings,14,1147,0.0122,6.00,OPTIMIZE_TITLE,72,80,"pos 6.0, CTR 1.2% < esperado 5%, ~43 clicks potenciales",AVAILABLE
https://hacecuentas.com/mx/calculadora-placas-auto-costo-mexico,,MX,automotive,53,918,0.0577,4.59,OPTIMIZE_TITLE,72,80,"pos 4.6, CTR 5.8% < esperado 10%, ~39 clicks potenciales",AVAILABLE
https://hacecuentas.com/co/calculadora-salario-aprendiz-sena-2026,,CO,salary,48,829,0.0579,5.00,OPTIMIZE_TITLE,72,80,"pos 5.0, CTR 5.8% < esperado 10%, ~35 clicks potenciales",AVAILABLE
https://hacecuentas.com/feriados-mexico-2026,,,other,6,795,0.0075,7.00,OPTIMIZE_TITLE,72,80,"pos 7.0, CTR 0.8% < esperado 5%, ~34 clicks potenciales",AVAILABLE
https://hacecuentas.com/co/calculadora-impuesto-industria-comercio-ica-colombia-municipios,,CO,taxes,88,2773,0.0317,6.00,OPTIMIZE_TITLE,71,80,"pos 6.0, CTR 3.2% < esperado 5%, ~51 clicks potenciales",AVAILABLE
https://hacecuentas.com/co/calculadora-sancion-extemporaneidad-dian-2026,,CO,taxes,62,2152,0.0288,5.49,OPTIMIZE_TITLE,71,80,"pos 5.5, CTR 2.9% < esperado 5%, ~46 clicks potenciales",AVAILABLE
https://hacecuentas.com/co/calculadora-recargo-nocturno-colombia-2026,,CO,savings,25,1225,0.0204,5.61,OPTIMIZE_TITLE,71,80,"pos 5.6, CTR 2.0% < esperado 5%, ~36 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-porcion-arroz-gramos-personas,,AR,food,39,690,0.0565,4.12,OPTIMIZE_TITLE,71,80,"pos 4.1, CTR 5.7% < esperado 10%, ~30 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-stream-bitrate-calidad,,AR,other,9,230,0.0391,4.74,OPTIMIZE_TITLE,71,80,"pos 4.7, CTR 3.9% < esperado 10%, ~14 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-mortero-juntas-ladrillos-m2-pared,,AR,construction,1,64,0.0156,4.19,KEEP,71,60,"pos 4.2, 64 impr — sin acción prioritaria",AVAILABLE
https://hacecuentas.com/calculadora-tiempo-lectura-por-paginas,,,other,0,25,0,4.00,KEEP,71,60,"pos 4.0, 25 impr — sin acción prioritaria",AVAILABLE
https://hacecuentas.com/calculadora-retencion-afip-cuit-regimen-general,,AR,taxes,0,21,0,5.00,KEEP,71,60,"pos 5.0, 21 impr — sin acción prioritaria",AVAILABLE
https://hacecuentas.com/co/calculadora-horas-extras-colombia-2026,,CO,savings,58,1782,0.0325,6.00,OPTIMIZE_TITLE,70,80,"pos 6.0, CTR 3.3% < esperado 5%, ~31 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-impuesto-renta-colombia-persona-natural-2026,,AR,taxes,120,1565,0.0767,4.41,OPTIMIZE_TITLE,70,80,"pos 4.4, CTR 7.7% < esperado 10%, ~37 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-isr-republica-dominicana-2026,,,other,30,1313,0.0228,6.66,OPTIMIZE_TITLE,70,80,"pos 6.7, CTR 2.3% < esperado 5%, ~36 clicks potenciales",AVAILABLE
https://hacecuentas.com/es/calculadora-convenio-hosteleria-espana-sueldo-2026-categoria,,ES,salary,92,1265,0.0727,4.11,OPTIMIZE_TITLE,70,80,"pos 4.1, CTR 7.3% < esperado 10%, ~35 clicks potenciales",AVAILABLE
https://hacecuentas.com/co/calculadora-gastos-notariales-registro-compraventa-2026,,CO,savings,89,1219,0.073,5.00,OPTIMIZE_TITLE,70,80,"pos 5.0, CTR 7.3% < esperado 10%, ~33 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-hemoglobina-glicosilada-a1c-glucosa,,,other,26,1137,0.0229,6.48,OPTIMIZE_TITLE,70,80,"pos 6.5, CTR 2.3% < esperado 5%, ~31 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-indice-masa-corporal-pediatrico,,AR,health_low_risk,19,953,0.0199,7.00,OPTIMIZE_TITLE,70,80,"pos 7.0, CTR 2.0% < esperado 5%, ~29 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-clearance-creatinina-cockcroft-gault,,,other,18,948,0.019,6.70,OPTIMIZE_TITLE,70,80,"pos 6.7, CTR 1.9% < esperado 5%, ~29 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-transfer-auto-costo-registro,,AR,automotive,12,759,0.0158,7.17,OPTIMIZE_TITLE,70,80,"pos 7.2, CTR 1.6% < esperado 5%, ~26 clicks potenciales",AVAILABLE
https://hacecuentas.com/dias-entre-dos-fechas,,AR,utilities,0,303,0,8.00,OPTIMIZE_TITLE,70,80,"pos 8.0, CTR 0.0% < esperado 5%, ~15 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-fecha-probable-parto-ecografia,,,other,0,275,0,6.72,OPTIMIZE_TITLE,70,80,"pos 6.7, CTR 0.0% < esperado 5%, ~14 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-retencion-ganancias-rg-830,,AR,taxes,70,1910,0.0366,5.34,OPTIMIZE_TITLE,69,80,"pos 5.3, CTR 3.7% < esperado 5%, ~26 clicks potenciales",AVAILABLE
https://hacecuentas.com/datos-aguinaldo-2026,,,other,47,1508,0.0312,6.00,OPTIMIZE_TITLE,69,80,"pos 6.0, CTR 3.1% < esperado 5%, ~28 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-antiguedad-laboral,,AR,utilities,102,1280,0.0797,4.61,OPTIMIZE_TITLE,69,80,"pos 4.6, CTR 8.0% < esperado 10%, ~26 clicks potenciales",AVAILABLE
https://hacecuentas.com/co/calculadora-interes-mora-dian-colombia-2026,,CO,taxes,33,1166,0.0283,6.00,OPTIMIZE_TITLE,69,80,"pos 6.0, CTR 2.8% < esperado 5%, ~25 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-semanas-embarazo,,AR,health_low_risk,16,748,0.0214,5.74,OPTIMIZE_TITLE,69,80,"pos 5.7, CTR 2.1% < esperado 5%, ~21 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-imc,,AR,health_low_risk,15,710,0.0211,6.74,OPTIMIZE_TITLE,69,80,"pos 6.7, CTR 2.1% < esperado 5%, ~21 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-peso-ideal-ninos,,,other,11,655,0.0168,6.55,OPTIMIZE_TITLE,69,80,"pos 6.5, CTR 1.7% < esperado 5%, ~22 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-vacaciones-argentina,,AR,employment_termination,8,522,0.0153,6.48,OPTIMIZE_TITLE,69,80,"pos 6.5, CTR 1.5% < esperado 5%, ~18 clicks potenciales",AVAILABLE
https://hacecuentas.com/cl/calculadora-impuesto-renta-segunda-categoria-chile-2026-tabla,,CL,taxes,2,366,0.0055,8.00,OPTIMIZE_TITLE,69,80,"pos 8.0, CTR 0.5% < esperado 5%, ~16 clicks potenciales",AVAILABLE
https://hacecuentas.com/tabla/tabla-imc-peso-altura,,,other,2,302,0.0066,6.00,OPTIMIZE_TITLE,69,80,"pos 6.0, CTR 0.7% < esperado 5%, ~13 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-correccion-calcio-albumina,,,other,0,270,0,7.89,OPTIMIZE_TITLE,69,80,"pos 7.9, CTR 0.0% < esperado 5%, ~14 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-millas-avianca-lifemiles,,AR,travel,263,2965,0.0887,5.01,KEEP,68,60,"pos 5.0, 2965 impr — sin acción prioritaria",AVAILABLE
https://hacecuentas.com/calculadora-impuesto-ganancias-sueldo,,AR,salary,87,1972,0.0441,6.05,OPTIMIZE_TITLE,68,80,"pos 6.0, CTR 4.4% < esperado 5%, ~12 clicks potenciales",AVAILABLE
