query,url,country,device,date_range,clicks,impressions,ctr,average_position,sessions,engaged_sessions,source_file
,https://hacecuentas.com/mx/calculadora-imss-cuotas-empleado-patron-mexico-2026,MX,,28d-to-2026-07-02,47,1034,0.0455,7.1228,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-impuesto-cedular-arrendamiento-mexico,MX,,28d-to-2026-07-02,36,966,0.0373,6.3333,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-indice-masa-corporal-pediatrico,AR,,28d-to-2026-07-02,19,953,0.0199,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-clearance-creatinina-cockcroft-gault,AR,,28d-to-2026-07-02,18,948,0.019,6.7015,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-placas-auto-costo-mexico,MX,,28d-to-2026-07-02,53,918,0.0577,4.5904,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-millas-latam-destino,AR,,28d-to-2026-07-02,68,909,0.0748,5.2211,16,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-duracion-bateria-mah-consumo,AR,,28d-to-2026-07-02,36,879,0.041,4.4551,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-salario-aprendiz-sena-2026,CO,,28d-to-2026-07-02,48,829,0.0579,5,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/feriados-mexico-2026,AR,,28d-to-2026-07-02,6,795,0.0075,7,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/datos-ganancias-2026,AR,,28d-to-2026-07-02,23,788,0.0292,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-recargos-actualizacion-sat-mexico-2026,MX,,28d-to-2026-07-02,24,779,0.0308,6,23,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/ec/calculadora-patente-municipal-ecuador,EC,,28d-to-2026-07-02,35,777,0.045,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/pe/datos-sueldo-minimo-peru-2026,PE,,28d-to-2026-07-02,9,765,0.0118,5,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-transfer-auto-costo-registro,AR,,28d-to-2026-07-02,12,759,0.0158,7.1686,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-semanas-embarazo,AR,,28d-to-2026-07-02,16,748,0.0214,5.7366,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-ingresos-brutos-provincial,AR,,28d-to-2026-07-02,34,730,0.0466,5.7507,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-imc,AR,,28d-to-2026-07-02,15,710,0.0211,6.738,8,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-porcion-arroz-gramos-personas,AR,,28d-to-2026-07-02,39,690,0.0565,4.1217,14,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-jubilacion-anses-monto-minimo-maxima-2026,AR,,28d-to-2026-07-02,26,682,0.0381,5,23,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/simulador-jubilacion-anses,AR,,28d-to-2026-07-02,100,672,0.1488,4,0,,data/bing-perf-latest.json (pages)
